parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000841,ADMINISTRATIVE PROCEDURE AND CITIZEN RELATIONS,0,2,000846=ADMINISTRATIVE PROCEDURE AND CITIZEN-AGENCY RELATIONS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002824,GOVERNMENT CONTRACTING AND PROCUREMENT,0,11,002840=GOVERNMENT CONTRACTS AND PROCUREMENT;002846=GOVERNMENT CONTRACTS AND PUBLIC PROCUREMENT,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004774,PUBLIC HEALTH AND SAFETY REGULATION,0,8,004767=PUBLIC HEALTH AND SAFETY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002910,GOVERNMENT TRANSPARENCY AND INFORMATION ACCESS,0,6,002886=GOVERNMENT INFORMATION AND TRANSPARENCY;002916=GOVERNMENT TRANSPARENCY AND INFORMATION LAW;002919=GOVERNMENT TRANSPARENCY AND OPEN GOVERNMENT;002922=GOVERNMENT TRANSPARENCY AND PUBLIC ACCESS TO INFORMATION,4
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004808,PUBLIC HEALTH REGULATION,0,11,004765=PUBLIC HEALTH;004794=PUBLIC HEALTH LAW,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001027,ADMINISTRATIVE RULEMAKING,0,5,001145=AGENCY RULEMAKING,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004714,POLICE POWER,0,5,004720=POLICE POWER AND GENERAL REGULATION;004723=POLICE POWER AND GENERAL REGULATORY AUTHORITY,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003097,IMMIGRATION AND NATIONALITY,0,38,003086=IMMIGRATION;003213=IMMIGRATION AND NATIONALITY LAW;003271=IMMIGRATION LAW,3
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",005351,TAXATION,0,92,005207=TAX;005273=TAX AND REVENUE;005277=TAX LAW;005313=TAX LAW AND ADMINISTRATION;005335=TAX LAW AND REVENUE;005343=TAX LAW AND TAXATION;006643=TAXATION AND REVENUE;006808=TAXATION AND REVENUE LAW;006818=TAXATION LAW,9
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",006879,TECHNOLOGY AND DIGITAL REGULATION,0,15,007003=TECHNOLOGY LAW AND DIGITAL REGULATION;007028=TECHNOLOGY LAW AND REGULATION,2
