parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000047,ADMINISTRATIVE ADJUDICATION AND AGENCY ACTION,0,0,000051=ADMINISTRATIVE ADJUDICATION AND AGENCY PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",003097,IMMIGRATION AND NATIONALITY,0,38,003213=IMMIGRATION AND NATIONALITY LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007371,WORKERS' COMPENSATION AND OCCUPATIONAL SAFETY,0,3,007376=WORKERS' COMPENSATION AND WORKPLACE SAFETY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007255,WELFARE AND PUBLIC ASSISTANCE,0,9,007264=WELFARE AND PUBLIC ASSISTANCE PROGRAMS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001655,ENVIRONMENTAL LAW,0,26,001731=ENVIRONMENTAL LAW AND POLICY;001735=ENVIRONMENTAL LAW AND REGULATION,2
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000118,ADMINISTRATIVE AGENCIES AND OFFICERS,0,2,000121=ADMINISTRATIVE AGENCIES AND OFFICIALS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001807,FEDERAL REGULATORY BODIES,0,2,001804=FEDERAL REGULATORY AGENCIES,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002824,GOVERNMENT CONTRACTING AND PROCUREMENT,0,6,002840=GOVERNMENT CONTRACTS AND PROCUREMENT,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002910,GOVERNMENT TRANSPARENCY AND INFORMATION ACCESS,0,6,002922=GOVERNMENT TRANSPARENCY AND PUBLIC ACCESS TO INFORMATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002866,GOVERNMENT ETHICS AND CONDUCT OF PUBLIC OFFICIALS,0,1,002882=GOVERNMENT ETHICS AND OFFICIAL CONDUCT,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000914,ADMINISTRATIVE PROCEDURE AND PROCESS,0,7,000837=ADMINISTRATIVE PROCEDURE AND AGENCY PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004720,POLICE POWER AND GENERAL REGULATION,0,0,004723=POLICE POWER AND GENERAL REGULATORY AUTHORITY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000653,ADMINISTRATIVE PROCEDURE ACT,0,5,000669=ADMINISTRATIVE PROCEDURE ACT (APA),1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",005277,TAX LAW,0,0,006818=TAXATION LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001087,ADMINISTRATIVE TRANSPARENCY AND PUBLIC INFORMATION ACCESS,0,5,001077=ADMINISTRATIVE TRANSPARENCY AND ACCESS TO INFORMATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001848,FINANCIAL MARKETS REGULATION,0,2,001845=FINANCIAL MARKETS AND SECURITIES REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001379,COMPETITION AND ANTITRUST,0,3,001386=COMPETITION AND ANTITRUST LAW,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001789,FEDERAL INCOME TAXATION,0,4,001785=FEDERAL INCOME TAX,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",004855,PUBLIC PROCUREMENT AND CONTRACTING,0,26,004910=PUBLIC PROCUREMENT AND GOVERNMENT CONTRACTING,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000478,ADMINISTRATIVE LAW FOUNDATIONS,0,2,000480=ADMINISTRATIVE LAW FOUNDATIONS AND PRINCIPLES,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001545,DATA PROTECTION AND PRIVACY,0,9,001558=DATA PROTECTION AND PRIVACY REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",002903,GOVERNMENT REVENUE AND TAXATION,0,2,002929=GOVERNMENTAL REVENUE AND TAXATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007281,WELFARE AND PUBLIC BENEFITS,0,0,007277=WELFARE AND PUBLIC BENEFIT PROGRAMS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001619,ENERGY REGULATION,0,6,001617=ENERGY LAW AND REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001120,AGENCY DECISIONMAKING AND PROCESS,0,3,001117=AGENCY DECISION-MAKING AND PROCESS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000831,ADMINISTRATIVE PROCEDURE AND AGENCY GOVERNANCE,0,2,000849=ADMINISTRATIVE PROCEDURE AND GOVERNANCE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",007391,WORKPLACE SAFETY AND HEALTH,0,0,007379=WORKPLACE AND OCCUPATIONAL SAFETY AND HEALTH,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000841,ADMINISTRATIVE PROCEDURE AND CITIZEN RELATIONS,0,2,000846=ADMINISTRATIVE PROCEDURE AND CITIZEN-AGENCY RELATIONS,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",000130,ADMINISTRATIVE AGENCIES AND PROCEDURE,0,3,000100=ADMINISTRATIVE AGENCIES AND ADMINISTRATIVE PROCEDURE,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001538,CYBERSECURITY LAW AND POLICY,0,1,001534=CYBERSECURITY AND INFORMATION SECURITY,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",001346,CHARITIES AND NON-PROFIT REGULATION,0,2,001343=CHARITABLE ORGANIZATIONS AND NONPROFIT REGULATION,1
000001,"ADMINISTRATIVE, REGULATORY, WELFARE, HEALTH, ENVIRONMENT, AND TECHNOLOGY LAW",005034,REGULATION OF ECONOMIC ACTIVITY,0,2,005031=REGULATION OF ECONOMIC ACTIVITIES,1
000075,ADMINISTRATIVE AGENCIES,000092,AGENCY PROCEDURE,0,2,000084=ADMINISTRATIVE PROCEDURE,1
000075,ADMINISTRATIVE AGENCIES,000095,CREATION AND ESTABLISHMENT,0,3,000098=CREATION AND ESTABLISHMENT OF AGENCIES,1
000299,JUDICIAL REVIEW OF AGENCY ACTION,000316,CHEVRON DEFERENCE,0,2,000318=CHEVRON DEFERENCE DOCTRINE,1
000299,JUDICIAL REVIEW OF AGENCY ACTION,000310,AGENCY STATUTORY INTERPRETATION,0,3,000307=AGENCY INTERPRETATION OF STATUTES,1
000339,RULEMAKING,000360,INFORMAL RULEMAKING,0,0,000346=APA INFORMAL RULEMAKING,1
000339,RULEMAKING,000348,APA INFORMAL RULEMAKING (SECTION 553),0,10,000340=ADMINISTRATIVE PROCEDURE ACT SECTION 553;000351=APA SECTION 553;000357=APA SECTION 553 RULEMAKING,3
000384,ADMINISTRATIVE LAW AND AGENCY ACTION,000390,JUDICIAL REVIEW OF AGENCY ACTION,0,5,000399=JUDICIAL REVIEW OF AGENCY DECISIONS,1
000426,ADMINISTRATIVE LAW AND GOVERNMENT ORGANIZATION,000427,STRUCTURE OF ADMINISTRATIVE AGENCIES,0,2,000429=STRUCTURE OF THE ADMINISTRATIVE STATE,1
000520,ADMINISTRATIVE PROCEDURE,000535,ADMINISTRATIVE PROCEDURE ACT,0,4,000538=ADMINISTRATIVE PROCEDURE ACT (APA),1
000520,ADMINISTRATIVE PROCEDURE,000651,TERMINATION OF PROCEEDINGS,0,2,000649=TERMINATION OF ADMINISTRATIVE PROCEEDINGS,1
000581,RULEMAKING,000617,LIMITS ON RULEMAKING PROCEDURES,2,1,000635=PROCEDURAL LIMITS ON RULEMAKING,1
000657,RULEMAKING,000658,APA SECTION 553 NOTICE-AND-COMMENT RULEMAKING,1,1,000659=INFORMAL RULEMAKING UNDER SECTION 553;000663=SECTION 553 PROCEDURES,2
000679,ADMINISTRATIVE PROCEDURE AND ADJUDICATION,000726,PARTIES AND STANDING,0,3,000729=PARTIES AND STANDING BEFORE ADMINISTRATIVE AGENCIES;000731=PARTIES AND STANDING IN ADMINISTRATIVE PROCEEDINGS,2
000679,ADMINISTRATIVE PROCEDURE AND ADJUDICATION,000745,PROCEDURAL DUE PROCESS IN AGENCY PROCEEDINGS,0,0,000740=PROCEDURAL DUE PROCESS IN ADMINISTRATIVE PROCEEDINGS,1
000679,ADMINISTRATIVE PROCEDURE AND ADJUDICATION,000718,FORMAL ADJUDICATION UNDER THE APA,0,3,000715=FORMAL ADJUDICATION,1
000685,CONSTITUTIONAL DUE PROCESS IN ADMINISTRATIVE PROCEEDINGS,000691,PROTECTED INTERESTS TRIGGERING DUE PROCESS,0,2,000693=PROTECTED INTERESTS TRIGGERING PROCEDURAL DUE PROCESS,1
000758,ADMINISTRATIVE PROCEDURE AND AGENCY ACTION,000802,JUDICIAL REVIEW OF AGENCY DECISIONS,0,12,000774=JUDICIAL REVIEW OF AGENCY ACTION,1
000774,JUDICIAL REVIEW OF AGENCY ACTION,000777,SCOPE AND STANDARDS OF REVIEW,0,4,000775=SCOPE AND STANDARDS OF JUDICIAL REVIEW,1
000777,SCOPE AND STANDARDS OF REVIEW,000778,DEFERENCE TO AGENCY INTERPRETATIONS,0,3,000783=JUDICIAL DEFERENCE TO AGENCY INTERPRETATIONS,1
000792,ARBITRARY AND CAPRICIOUS REVIEW,000793,AGENCY RESCISSION OR CHANGE OF POLICY,2,0,000794=AGENCY RESCISSION OR REVERSAL OF POLICY,1
000853,ADMINISTRATIVE PROCEDURE AND JUDICIAL REVIEW,000875,JUDICIAL REVIEW OF AGENCY ACTIONS,0,10,000859=JUDICIAL REVIEW OF ADMINISTRATIVE ACTION,1
000875,JUDICIAL REVIEW OF AGENCY ACTIONS,000879,REVIEWABILITY AND JUSTICIABILITY,0,2,000882=REVIEWABILITY AND JUSTICIABILITY DOCTRINES,1
000926,ADMINISTRATIVE PROCEDURE AND RULEMAKING,000927,ADMINISTRATIVE PROCEDURE ACT,0,3,000930=ADMINISTRATIVE PROCEDURE ACT (APA),1
000926,ADMINISTRATIVE PROCEDURE AND RULEMAKING,000991,RULEMAKING PROCEDURES,1,1,000992=RULEMAKING PROCESS,1
