parent,parent_label,winner_notation,winner_label,winner_sources,winner_children,losers,n_losers,norm_key
000001,,000009,ADMINISTRATIVE ACTION AND PROCEDURE,0,1,000998=ADMINISTRATIVE PROCEDURES AND ACTIONS,1,ACTION ADMINISTRATIVE PROCEDURE
000001,,000679,ADMINISTRATIVE PROCEDURE AND ADJUDICATION,0,20,000058=ADMINISTRATIVE ADJUDICATION AND PROCEDURE,1,ADJUDICATION ADMINISTRATIVE PROCEDURE
000001,,000192,ADMINISTRATIVE ENFORCEMENT AND SANCTIONS,0,1,001073=ADMINISTRATIVE SANCTIONS AND ENFORCEMENT,1,ADMINISTRATIVE ENFORCEMENT SANCTION
000001,,000914,ADMINISTRATIVE PROCEDURE AND PROCESS,0,3,001013=ADMINISTRATIVE PROCESS AND PROCEDURE,1,ADMINISTRATIVE PROCEDURE PROCESS
000001,,001040,ADMINISTRATIVE RULEMAKING AND REGULATION,0,2,001024=ADMINISTRATIVE REGULATION AND RULEMAKING;001048=ADMINISTRATIVE RULEMAKING AND REGULATIONS,2,ADMINISTRATIVE REGULATION RULEMAKING
000001,,001128,AGENCY PROCEDURE AND PROCESS,0,3,001141=AGENCY PROCESS AND PROCEDURE,1,AGENCY PROCEDURE PROCESS
000001,,001990,FOOD AND AGRICULTURE LAW,0,8,001188=AGRICULTURE AND FOOD LAW,1,AGRICULTURE FOOD LAW
000001,,001218,BANKING AND FINANCIAL INSTITUTIONS REGULATION,0,5,001214=BANKING AND FINANCIAL INSTITUTION REGULATION;001835=FINANCIAL INSTITUTIONS AND BANKING REGULATION,2,BANKING FINANCIAL INSTITUTION REGULATION
000001,,001233,BANKING AND FINANCIAL REGULATION,0,5,001933=FINANCIAL REGULATION AND BANKING,1,BANKING FINANCIAL REGULATION
000001,,001350,CHEMICAL AND PESTICIDE REGULATION,0,1,001354=CHEMICALS AND PESTICIDES REGULATION,1,CHEMICAL PESTICIDE REGULATION
000001,,001947,FINANCIAL REGULATION AND CONSUMER PROTECTION,0,4,001489=CONSUMER PROTECTION AND FINANCIAL REGULATION,1,CONSUMER FINANCIAL PROTECTION REGULATION
000001,,001508,CONSUMER PROTECTION AND TRADE REGULATION,0,2,007042=TRADE REGULATION AND CONSUMER PROTECTION,1,CONSUMER PROTECTION REGULATION TRADE
000001,,001545,DATA PROTECTION AND PRIVACY,0,6,004733=PRIVACY AND DATA PROTECTION,1,DATA PRIVACY PROTECTION
000001,,003716,LABOR AND EMPLOYMENT REGULATION,0,7,001604=EMPLOYMENT AND LABOR REGULATION,1,EMPLOYMENT LABOR REGULATION
000001,,001631,ENVIRONMENTAL AND NATURAL RESOURCES LAW,0,6,001723=ENVIRONMENTAL LAW AND NATURAL RESOURCES,1,ENVIRONMENTAL LAW NATURAL RESOURCE
